#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
爱	愛	<span class="tone4">ài</span>	<ol><li>to love; to be fond of; to like</li><li>affection</li><li>to be inclined (to do sth); to tend to (happen)</li></ol>			
爱好	愛好	<span class="tone4">ài</span> <span class="tone4">hào</span>	<ol><li>to like; to be fond of; to take pleasure in; to be keen on</li><li>interest; hobby</li></ol>	个|個(<span class="tone4">gè</span>)		
八		<span class="tone1">bā</span>	<ol><li>eight; 8</li></ol>			
爸爸		<span class="tone4">bà</span> <span class="tone5">ba</span>	<ol><li>(coll.) father; dad</li></ol>	个|個(<span class="tone4">gè</span>), 位(<span class="tone4">wèi</span>)		
爸		<span class="tone4">bà</span>	<ol><li>father</li><li>dad</li><li>pa</li><li>papa</li></ol>			
吧		<span class="tone5">ba</span>	<ol><li>(modal particle indicating suggestion or surmise)</li><li>...right?</li><li>...OK?</li><li>...I presume.</li></ol>			
吧		<span class="tone1">bā</span>	<ol><li>bar (loanword) (serving drinks, or providing Internet access etc)</li><li>to puff (on a pipe etc)</li><li>(onom.) bang</li></ol>			<span class="nobr">八</span>
吧		<span class="tone1">biā</span>	<ol><li>(onom.) smack!</li></ol>			
白		<span class="tone2">bái</span>	<ol><li>white</li><li>snowy</li><li>pure</li><li>bright</li><li>empty</li><li>blank</li><li>plain</li><li>clear</li><li>to make clear</li><li>in vain</li><li>gratuitous</li><li>free of charge</li><li>reactionary</li><li>anti-communist</li><li>funeral</li><li>to stare coldly</li><li>to write wrong character</li><li>to state</li><li>to explain</li><li>vernacular</li><li>spoken lines in opera</li></ol>			
白		<span class="tone2">Bái</span>	<ol><li>surname Bai</li></ol>			
白天		<span class="tone2">bái</span> <span class="tone1">tiān</span>	<ol><li>daytime</li><li>during the day</li><li>day</li></ol>	个|個(<span class="tone4">gè</span>)		
百		<span class="tone3">bǎi</span>	<ol><li>hundred</li><li>numerous</li><li>all kinds of</li></ol>			
百		<span class="tone3">Bǎi</span>	<ol><li>surname Bai</li></ol>			
班		<span class="tone1">bān</span>	<ol><li>team; class; grade</li><li>(military) squad</li><li>work shift</li><li>classifier for groups of people and scheduled transport vehicles</li></ol>	个|個(<span class="tone4">gè</span>)		
班		<span class="tone1">Bān</span>	<ol><li>surname Ban</li></ol>			
半		<span class="tone4">bàn</span>	<ol><li>half</li><li>semi-</li><li>incomplete</li><li>(after a number) and a half</li></ol>			
半年		<span class="tone4">bàn</span> <span class="tone2">nián</span>	<ol><li>half a year</li></ol>			
半天		<span class="tone4">bàn</span> <span class="tone1">tiān</span>	<ol><li>half of the day</li><li>a long time</li><li>quite a while</li><li>midair</li></ol>	个|個(<span class="tone4">gè</span>)		
帮	幫	<span class="tone1">bāng</span>	<ol><li>to help</li><li>to assist</li><li>to support</li><li>for sb (i.e. as a help)</li><li>hired (as worker)</li><li>side (of pail, boat etc)</li><li>outer layer</li><li>upper (of a shoe)</li><li>group</li><li>gang</li><li>clique</li><li>party</li><li>secret society</li></ol>			
帮	幇	<span class="tone1">bāng</span>	<ol><li>old variant of 幫｜帮</li></ol>			
帮	幚	<span class="tone1">bāng</span>	<ol><li>old variant of 幫｜帮</li></ol>			
帮忙	幫忙	<span class="tone1">bāng</span> <span class="tone2">máng</span>	<ol><li>to help</li><li>to lend a hand</li><li>to do a favor</li><li>to do a good turn</li></ol>			
包		<span class="tone1">bāo</span>	<ol><li>to cover</li><li>to wrap</li><li>to hold</li><li>to include</li><li>to take charge of</li><li>to contract (to or for)</li><li>package</li><li>wrapper</li><li>container</li><li>bag</li><li>to hold or embrace</li><li>bundle</li><li>packet</li></ol>	个|個(<span class="tone4">gè</span>), 只|隻(<span class="tone1">zhī</span>)		
包		<span class="tone1">Bāo</span>	<ol><li>surname Bao</li></ol>			
包子		<span class="tone1">bāo</span> <span class="tone5">zi</span>	<ol><li>bao (steamed stuffed bun)</li></ol>	个|個(<span class="tone4">gè</span>)		
杯		<span class="tone1">bēi</span>	<ol><li>cup</li><li>trophy cup</li><li>classifier for certain containers of liquids: glass, cup</li></ol>			
杯	盃	<span class="tone1">bēi</span>	<ol><li>trophy cup</li><li>classifier for certain containers of liquids: glass, cup</li></ol>			
杯子		<span class="tone1">bēi</span> <span class="tone5">zi</span>	<ol><li>cup</li><li>glass</li></ol>	个|個(<span class="tone4">gè</span>), 只|隻(<span class="tone1">zhī</span>)		
北		<span class="tone3">běi</span>	<ol><li>north</li><li>(classical) to be defeated</li></ol>			
北边	北邊	<span class="tone3">běi</span> <span class="tone1">biān</span>	<ol><li>north</li><li>north side</li><li>northern part</li><li>to the north of</li></ol>			
北京		<span class="tone3">Běi</span> <span class="tone1">jīng</span>	<ol><li>Beijing, capital of the People's Republic of China</li></ol>			
本		<span class="tone3">běn</span>	<ol><li>(bound form) root; stem</li><li>(bound form) origin; source</li><li>(bound form) one's own; this</li><li>(bound form) this; the current (year etc)</li><li>(bound form) original</li><li>(bound form) inherent</li><li>originally; initially</li><li>capital; principal</li><li>classifier for books, periodicals, files etc</li></ol>			
本子		<span class="tone3">běn</span> <span class="tone5">zi</span>	<ol><li>book</li><li>notebook</li><li>Japanese-style self-published comic (esp. an erotic one), aka "dōjinshi"</li><li>edition</li></ol>	本(<span class="tone3">běn</span>)		
比		<span class="tone3">bǐ</span>	<ol><li>to compare</li><li>(followed by a noun and adjective) more {adj.} than {noun}</li><li>ratio</li><li>to gesture</li><li>(Taiwan pr. [bi4] in some compounds derived from Classical Chinese)</li></ol>			
比		<span class="tone3">Bǐ</span>	<ol><li>Belgium</li><li>Belgian</li></ol>			
比		<span class="tone1">bī</span>	<ol><li>euphemistic variant of 屄</li></ol>			
别	別	<span class="tone2">bié</span>	<ol><li>to leave; to part (from)</li><li>(literary) to differentiate; to distinguish</li><li>(bound form) other; another; different</li><li>don't ...!</li><li>to fasten with a pin or clip</li><li>to stick in; to insert (in order to hinder movement)</li><li>(noun suffix) category (e.g. 性別｜性别, 派別｜派别)</li></ol>			
别	別	<span class="tone2">Bié</span>	<ol><li>surname Bie</li></ol>			
别	彆	<span class="tone4">biè</span>	<ol><li>to make sb change their ways, opinions etc</li></ol>			
别的	別的	<span class="tone2">bié</span> <span class="tone5">de</span>	<ol><li>else</li><li>other</li></ol>			
别人	別人	<span class="tone2">bié</span> <span class="tone5">ren</span>	<ol><li>other people; others; other person</li></ol>			
病		<span class="tone4">bìng</span>	<ol><li>illness</li><li>disease</li><li>to fall ill</li><li>defect</li></ol>	场|場(<span class="tone2">cháng</span>)		
病人		<span class="tone4">bìng</span> <span class="tone2">rén</span>	<ol><li>sick person</li><li>patient</li><li>invalid</li></ol>	个|個(<span class="tone4">gè</span>)		
不大		<span class="tone4">bù</span> <span class="tone4">dà</span>	<ol><li>not very</li><li>not too</li><li>not often</li></ol>			
不对	不對	<span class="tone4">bù</span> <span class="tone4">duì</span>	<ol><li>incorrect</li><li>wrong</li><li>amiss</li><li>abnormal</li><li>queer</li></ol>			
不客气	不客氣	<span class="tone4">bù</span> <span class="tone4">kè</span> <span class="tone5">qi</span>	<ol><li>you're welcome</li><li>don't mention it</li><li>impolite</li><li>rude</li><li>blunt</li></ol>			
不用		<span class="tone4">bù</span> <span class="tone4">yòng</span>	<ol><li>need not</li></ol>			
不		<span class="tone4">bù</span>	<ol><li>no; not so</li><li>(bound form) not; un-</li></ol>			
菜		<span class="tone4">cài</span>	<ol><li>vegetable; greens (CL:棵)</li><li>dish (of food) (CL:樣｜样,道,盤｜盘)</li><li>(of one's skills etc) weak; poor</li><li>(coll.) (one's) type</li></ol>			
茶		<span class="tone2">chá</span>	<ol><li>tea</li><li>tea plant</li></ol>	杯(<span class="tone1">bēi</span>), 壶|壺(<span class="tone2">hú</span>)		
差		<span class="tone4">chà</span>	<ol><li>different</li><li>wrong; mistaken</li><li>to fall short; to lack</li><li>not up to standard; inferior</li></ol>		<span class="tone1">chā</span>	
差		<span class="tone1">chā</span>	<ol><li>difference; discrepancy</li><li>(math.) difference (amount remaining after a subtraction)</li><li>(literary) a little; somewhat; slightly</li></ol>			
差		<span class="tone1">chāi</span>	<ol><li>to send (on an errand)</li><li>(archaic) person sent on such an errand</li><li>job; official post</li></ol>			
差		<span class="tone1">cī</span>	<ol><li>used in 參差｜参差</li></ol>			
常		<span class="tone2">cháng</span>	<ol><li>always</li><li>ever</li><li>often</li><li>frequently</li><li>common</li><li>general</li><li>constant</li></ol>			
常		<span class="tone2">Cháng</span>	<ol><li>surname Chang</li></ol>			
常常		<span class="tone2">cháng</span> <span class="tone2">cháng</span>	<ol><li>frequently</li><li>often</li></ol>			
唱		<span class="tone4">chàng</span>	<ol><li>to sing</li><li>to call loudly</li><li>to chant</li></ol>			
