#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
阿拉伯语	阿拉伯語	<span class="tone1">Ā</span> <span class="tone1">lā</span> <span class="tone2">bó</span> <span class="tone3">yǔ</span>	<ol><li>Arabic (language)</li></ol>			
哎		<span class="tone1">āi</span>	<ol><li>hey!</li><li>(interjection used to attract attention or to express surprise or disapprobation)</li></ol>			<span class="nobr">挨</span>
癌		<span class="tone2">ái</span>	<ol><li>cancer</li><li>carcinoma</li><li>also pr. [yan2]</li></ol>			<span class="nobr">挨</span>
唉		<span class="tone4">ài</span>	<ol><li>alas</li><li>oh dear</li></ol>			<span class="nobr">爱</span>
唉		<span class="tone1">āi</span>	<ol><li>interjection or grunt of agreement or recognition (e.g. yes, it's me!)</li><li>to sigh</li></ol>			<span class="nobr">哎</span> <span class="nobr">挨</span>
爱不释手	愛不釋手	<span class="tone4">ài</span> <span class="tone4">bù</span> <span class="tone4">shì</span> <span class="tone3">shǒu</span>	<ol><li>(idiom) to like sth so much that one is reluctant to put it down; to find sth utterly irresistible</li></ol>			
挨家挨户	挨家挨戶	<span class="tone1">āi</span> <span class="tone1">jiā</span> <span class="tone1">āi</span> <span class="tone4">hù</span>	<ol><li>to go from house to house</li></ol>			
爱理不理	愛理不理	<span class="tone4">ài</span> <span class="tone3">lǐ</span> <span class="tone4">bù</span> <span class="tone3">lǐ</span>	<ol><li>(idiom) standoffish; indifferent</li></ol>			
爱面子	愛面子	<span class="tone4">ài</span> <span class="tone4">miàn</span> <span class="tone5">zi</span>	<ol><li>to like to look good in the eyes of others; sensitive about how one is regarded by others; proud</li></ol>			
哀求		<span class="tone1">āi</span> <span class="tone2">qiú</span>	<ol><li>to entreat</li><li>to implore</li><li>to plead</li></ol>			
碍事	礙事	<span class="tone4">ài</span> <span class="tone4">shì</span>	<ol><li>to be in the way; to be a hindrance</li><li>(usu. in the negative) to be of consequence; to matter</li></ol>			
爱惜	愛惜	<span class="tone4">ài</span> <span class="tone1">xī</span>	<ol><li>to cherish</li><li>to treasure</li><li>to use sparingly</li></ol>			
哎呀		<span class="tone1">āi</span> <span class="tone1">yā</span>	<ol><li>interjection of wonder, shock or admiration</li></ol>			
癌症		<span class="tone2">ái</span> <span class="tone4">zhèng</span>	<ol><li>cancer</li></ol>			
艾滋病		<span class="tone4">ài</span> <span class="tone1">zī</span> <span class="tone4">bìng</span>	<ol><li>AIDS (loanword)</li></ol>			
暗地里	暗地裡	<span class="tone4">àn</span> <span class="tone4">dì</span> <span class="tone5">li</span>	<ol><li>secretly; inwardly; on the sly</li></ol>			
安定		<span class="tone1">ān</span> <span class="tone4">dìng</span>	<ol><li>stable; calm; settled</li><li>to stabilize</li><li>Valium; diazepam</li></ol>			
安定		<span class="tone1">Ān</span> <span class="tone4">dìng</span>	<ol><li>Anting township in Tainan county 台南縣｜台南县, Taiwan</li></ol>			
安抚	安撫	<span class="tone1">ān</span> <span class="tone3">fǔ</span>	<ol><li>to placate</li><li>to pacify</li><li>to appease</li></ol>			
按键	按鍵	<span class="tone4">àn</span> <span class="tone4">jiàn</span>	<ol><li>button or key (on a device)</li><li>keystroke</li><li>to press a button</li></ol>	个|個(<span class="tone4">gè</span>)		
案件		<span class="tone4">àn</span> <span class="tone4">jiàn</span>	<ol><li>case</li><li>instance</li></ol>	宗(<span class="tone1">zōng</span>), 桩|樁(<span class="tone1">zhuāng</span>), 起(<span class="tone3">qǐ</span>)		<span class="nobr">按键</span>
按理说	按理說	<span class="tone4">àn</span> <span class="tone3">lǐ</span> <span class="tone1">shuō</span>	<ol><li>it is reasonable to say that...</li></ol>			
安眠药	安眠藥	<span class="tone1">ān</span> <span class="tone2">mián</span> <span class="tone4">yào</span>	<ol><li>sleeping pill</li></ol>	粒(<span class="tone4">lì</span>)		
